mo_id,district_id,population,workshops,people_per_workshop
1,1,6596,0,
2,1,15968,1,15968.0
3,1,194361,5,38872.2
4,1,70883,0,
5,1,95484,4,23871.0
6,1,92572,7,13224.57142857143
7,1,116908,2,58454.0
8,1,122082,0,
9,2,61162,0,
10,2,58269,0,
11,2,130109,7,18587.0
12,2,76863,2,38431.5
13,2,49984,3,16661.333333333332
14,2,35236,0,
15,2,29194,1,29194.0
16,3,76707,2,38353.5
17,3,58176,3,19392.0
18,3,43319,5,8663.8
19,3,128807,5,25761.4
20,3,61345,1,61345.0
21,4,61224,1,61224.0
22,4,67523,2,33761.5
23,4,55794,2,27897.0
24,4,91841,2,45920.5
25,4,62485,0,
26,4,73604,5,14720.8
27,5,6134,0,
28,5,115762,3,38587.333333333336
29,5,39654,1,39654.0
30,5,90456,0,
31,5,60831,5,12166.2
32,5,61428,2,30714.0
33,5,60398,1,60398.0
34,5,117262,8,14657.75
35,6,67736,1,67736.0
36,6,108955,3,36318.333333333336
37,6,72500,4,18125.0
38,6,76698,6,12783.0
39,6,82129,1,82129.0
40,6,48225,1,48225.0
41,6,76729,1,76729.0
42,7,28441,3,9480.333333333334
43,7,27516,2,13758.0
44,7,57556,0,
45,7,71335,6,11889.166666666666
46,7,81210,2,40605.0
47,7,68326,0,
48,7,70577,2,35288.5
49,7,62501,5,12500.2
50,7,89418,1,89418.0
51,8,59414,3,19804.666666666668
52,8,75768,5,15153.6
53,8,70009,4,17502.25
54,8,42496,2,21248.0
55,8,33237,2,16618.5
56,8,38080,3,12693.333333333334
57,8,10415,0,
58,9,7288,2,3644.0
59,9,8959,3,2986.3333333333335
60,9,39786,6,6631.0
61,9,73545,6,12257.5
62,9,19523,2,9761.5
63,9,49761,5,9952.2
64,10,36749,2,18374.5
65,10,31937,1,31937.0
66,10,41719,2,20859.5
67,10,36676,0,
68,10,61639,2,30819.5
69,11,45013,3,15004.333333333334
70,11,65614,3,21871.333333333332
71,11,83286,1,83286.0
72,11,45710,7,6530.0
73,11,94318,7,13474.0
74,12,15799,1,15799.0
75,12,16881,1,16881.0
76,12,16154,2,8077.0
77,12,21092,6,3515.3333333333335
78,12,17932,2,8966.0
79,12,30355,1,30355.0
80,13,33543,1,33543.0
81,13,20342,5,4068.4
82,13,23971,1,23971.0
83,13,22109,1,22109.0
84,13,32761,2,16380.5
85,13,21698,2,10849.0
86,14,147179,0,
87,14,27592,1,27592.0
88,14,2146,0,
89,14,8603,0,
90,14,1733,0,
91,14,2617,0,
92,15,44655,0,
93,16,15568,0,
94,16,46304,0,
95,16,2466,0,
96,16,1476,0,
97,16,1588,0,
98,16,9977,0,
99,16,3022,0,
100,16,301,0,
101,16,748,0,
102,16,2048,0,
103,16,811,0,
104,17,38477,0,
105,17,81767,0,
106,17,14651,0,
107,18,18485,0,
108,18,1765,0,
109,18,108969,0,
110,18,3221,0,
111,18,144901,4,36225.25
