id,name,district_id
1,Лисий Нос,1
2,Лахта-Ольгино,1
3,N 65,1
4,Ланское,1
5,Комендантский Аэродром,1
6,Озеро Долгое,1
7,Юнтолово,1
8,Коломяги,1
9,Красное Село,2
10,Юго-Запад,2
11,Южно-Приморский,2
12,Сосновая Поляна,2
13,Урицк,2
14,Константиновское,2
15,Горелово,2
16,Полюстрово,3
17,Большая Охта,3
18,Малая Охта,3
19,Пороховые,3
20,Ржевка,3
21,Волковское,4
22,N 72,4
23,Купчино,4
24,Георгиевский,4
25,Александровский,4
26,Балканский,4
27,поселок Левашово,5
28,Парголово,5
29,Сампсониевское,5
30,Светлановское,5
31,Сосновское,5
32,N 15,5
33,Сергиевское,5
34,Шувалово-Озерки,5
35,Гражданка,6
36,Академическое,6
37,Финляндский округ,6
38,N 21,6
39,Пискаревка,6
40,Северный,6
41,Прометей,6
42,Невская застава,7
43,Ивановский,7
44,Обуховский,7
45,Рыбацкое,7
46,Народный,7
47,N 54,7
48,Невский округ,7
49,Оккервиль,7
50,Правобережный,7
51,Княжево,8
52,Ульянка,8
53,Дачное,8
54,Автово,8
55,Нарвский округ,8
56,Красненькая речка,8
57,Морские ворота,8
58,Дворцовый округ,9
59,N 78,9
60,Литейный округ,9
61,Смольнинское,9
62,Лиговка-Ямская,9
63,Владимирский округ,9
64,N 7,10
65,Васильевский,10
66,Гавань,10
67,Морской,10
68,Остров Декабристов,10
69,Московская Застава,11
70,Гагаринское,11
71,Новоизмайловское,11
72,Пулковский меридиан,11
73,Звездное,11
74,Введенский,12
75,Кронверкское,12
76,Посадский,12
77,Аптекарский Остров,12
78,Петровский,12
79,Чкаловское,12
80,Коломна,13
81,Сенной округ,13
82,Адмиралтейский округ,13
83,Семеновский,13
84,Измайловское,13
85,Екатерингофский,13
86,Колпино,14
87,Металлострой,14
88,Петро-Славянка,14
89,Понтонный,14
90,Саперный,14
91,Усть-Ижора,14
92,Кронштадт,15
93,Зеленогорск,16
94,Сестрорецк,16
95,Белоостров,16
96,Комарово,16
97,Молодежное,16
98,Песочный,16
99,Репино,16
100,Серово,16
101,Смолячково,16
102,Солнечное,16
103,Ушково,16
104,Ломоносов,17
105,Петергоф,17
106,Стрельна,17
107,Павловск,18
108,Тярлево,18
109,Пушкин,18
110,Александровская,18
111,Шушары,18
