org_id,district_id,district_name,is_work
23668,9,Центральный,1
23939,11,Московский,1
49465,9,Центральный,1
49548,13,Адмиралтейский,1
49558,9,Центральный,1
49562,11,Московский,1
49576,12,Петроградский,1
49579,11,Московский,1
49595,18,Пушкинский,1
49811,1,Приморский,1
49817,1,Приморский,1
49871,11,Московский,1
49884,11,Московский,1
50440,12,Петроградский,1
63625,11,Московский,1
76386,6,Калининский,1
76464,12,Петроградский,1
76465,9,Центральный,1
76496,9,Центральный,1
76524,9,Центральный,1
76531,12,Петроградский,1
76538,9,Центральный,1
76547,12,Петроградский,1
76553,12,Петроградский,1
76558,12,Петроградский,1
76594,10,Василеостровский,1
76643,9,Центральный,1
76649,10,Василеостровский,1
76708,12,Петроградский,1
76764,9,Центральный,1
76837,9,Центральный,1
79420,1,Приморский,1
79499,1,Приморский,1
89772,6,Калининский,1
97856,13,Адмиралтейский,1
97857,9,Центральный,1
98141,13,Адмиралтейский,1
98151,13,Адмиралтейский,1
98178,18,Пушкинский,1
98185,4,Фрунзенский,1
98194,5,Выборгский,1
98201,8,Кировский,1
98202,4,Фрунзенский,1
98204,4,Фрунзенский,1
98211,11,Московский,1
98266,10,Василеостровский,1
98292,10,Василеостровский,1
98298,10,Василеостровский,1
98475,1,Приморский,1
98477,1,Приморский,1
98512,9,Центральный,1
98565,13,Адмиралтейский,1
98568,13,Адмиралтейский,1
98571,7,Невский,1
98573,9,Центральный,1
98584,1,Приморский,1
98590,1,Приморский,1
98596,1,Приморский,1
98651,9,Центральный,1
98680,1,Приморский,1
98681,1,Приморский,1
98732,1,Приморский,1
98925,9,Центральный,1
98937,8,Кировский,1
98946,8,Кировский,1
98947,8,Кировский,1
98951,8,Кировский,1
98967,4,Фрунзенский,1
98988,4,Фрунзенский,1
98989,8,Кировский,1
98991,8,Кировский,1
98997,8,Кировский,1
99018,11,Московский,1
99021,8,Кировский,1
99042,8,Кировский,1
99065,8,Кировский,1
99067,11,Московский,1
99072,8,Кировский,1
99073,11,Московский,1
99078,2,Красносельский,1
99080,8,Кировский,1
99085,2,Красносельский,1
99089,11,Московский,1
99093,2,Красносельский,1
99105,8,Кировский,1
99116,8,Кировский,1
99204,11,Московский,1
99206,13,Адмиралтейский,1
100098,12,Петроградский,1
100211,12,Петроградский,1
100822,11,Московский,1
101035,3,Красногвардейский,1
101048,3,Красногвардейский,1
101155,7,Невский,1
101189,7,Невский,1
101195,7,Невский,1
101475,9,Центральный,1
101509,12,Петроградский,1
120419,11,Московский,1
120490,11,Московский,1
125561,4,Фрунзенский,1
125674,4,Фрунзенский,1
125880,4,Фрунзенский,1
126207,7,Невский,1
149250,5,Выборгский,1
149304,5,Выборгский,1
149319,5,Выборгский,1
149325,5,Выборгский,1
149330,5,Выборгский,1
149334,5,Выборгский,1
149354,6,Калининский,1
149384,5,Выборгский,1
149423,5,Выборгский,1
149431,6,Калининский,1
149432,6,Калининский,1
149476,5,Выборгский,1
149480,5,Выборгский,1
149509,5,Выборгский,1
149533,5,Выборгский,1
149536,5,Выборгский,1
149541,6,Калининский,1
149619,6,Калининский,1
149624,6,Калининский,1
149628,6,Калининский,1
149630,5,Выборгский,1
149634,5,Выборгский,1
149638,5,Выборгский,1
149664,6,Калининский,1
149668,6,Калининский,1
149678,6,Калининский,1
149738,6,Калининский,1
160710,3,Красногвардейский,1
160847,10,Василеостровский,1
161215,3,Красногвардейский,1
161325,5,Выборгский,1
161428,8,Кировский,1
162349,12,Петроградский,1
162504,9,Центральный,1
171193,11,Московский,1
171283,11,Московский,1
175256,7,Невский,1
175461,7,Невский,1
175671,18,Пушкинский,1
175985,18,Пушкинский,1
176113,13,Адмиралтейский,1
176190,7,Невский,1
176328,3,Красногвардейский,1
176339,3,Красногвардейский,1
176347,13,Адмиралтейский,1
176363,3,Красногвардейский,1
176365,3,Красногвардейский,1
176402,1,Приморский,1
176458,11,Московский,1
176484,10,Василеостровский,1
176546,2,Красносельский,1
176575,2,Красносельский,1
176648,4,Фрунзенский,1
176659,8,Кировский,1
176751,4,Фрунзенский,1
176950,8,Кировский,1
176979,9,Центральный,1
177162,8,Кировский,1
177198,9,Центральный,1
177234,11,Московский,1
177435,12,Петроградский,1
177474,2,Красносельский,1
177757,4,Фрунзенский,1
177783,2,Красносельский,1
177800,2,Красносельский,1
177961,13,Адмиралтейский,1
178024,13,Адмиралтейский,1
178039,7,Невский,1
178124,7,Невский,1
178145,2,Красносельский,1
178147,14,Колпинский,1
178178,3,Красногвардейский,1
178280,7,Невский,1
179040,13,Адмиралтейский,1
180303,7,Невский,1
180527,1,Приморский,1
193061,7,Невский,1
193363,7,Невский,1
193375,7,Невский,1
201667,5,Выборгский,1
207792,1,Приморский,1
207877,1,Приморский,1
207914,3,Красногвардейский,1
