org_id,mo_id,mo_name,is_work
23668,63,Владимирский округ,1
23939,73,Звездное,1
49465,60,Литейный округ,1
49548,82,Адмиралтейский округ,1
49558,63,Владимирский округ,1
49562,70,Гагаринское,1
49576,76,Посадский,1
49579,73,Звездное,1
49595,111,Шушары,1
49811,6,Озеро Долгое,1
49817,3,N 65,1
49871,73,Звездное,1
49884,73,Звездное,1
50440,77,Аптекарский Остров,1
63625,72,Пулковский меридиан,1
76386,37,Финляндский округ,1
76464,77,Аптекарский Остров,1
76465,60,Литейный округ,1
76496,61,Смольнинское,1
76524,61,Смольнинское,1
76531,78,Петровский,1
76538,60,Литейный округ,1
76547,79,Чкаловское,1
76553,77,Аптекарский Остров,1
76558,76,Посадский,1
76594,66,Гавань,1
76643,60,Литейный округ,1
76649,68,Остров Декабристов,1
76708,74,Введенский,1
76764,63,Владимирский округ,1
76837,61,Смольнинское,1
79420,3,N 65,1
79499,3,N 65,1
89772,38,N 21,1
97856,84,Измайловское,1
97857,60,Литейный округ,1
98141,83,Семеновский,1
98151,80,Коломна,1
98178,111,Шушары,1
98185,26,Балканский,1
98194,34,Шувалово-Озерки,1
98201,55,Нарвский округ,1
98202,26,Балканский,1
98204,26,Балканский,1
98211,73,Звездное,1
98266,65,Васильевский,1
98292,64,N 7,1
98298,64,N 7,1
98475,6,Озеро Долгое,1
98477,6,Озеро Долгое,1
98512,63,Владимирский округ,1
98565,81,Сенной округ,1
98568,81,Сенной округ,1
98571,42,Невская застава,1
98573,63,Владимирский округ,1
98584,7,Юнтолово,1
98590,6,Озеро Долгое,1
98596,6,Озеро Долгое,1
98651,62,Лиговка-Ямская,1
98680,6,Озеро Долгое,1
98681,3,N 65,1
98732,6,Озеро Долгое,1
98925,62,Лиговка-Ямская,1
98937,53,Дачное,1
98946,54,Автово,1
98947,53,Дачное,1
98951,54,Автово,1
98967,21,Волковское,1
98988,22,N 72,1
98989,51,Княжево,1
98991,52,Ульянка,1
98997,56,Красненькая речка,1
99018,72,Пулковский меридиан,1
99021,53,Дачное,1
99042,52,Ульянка,1
99065,51,Княжево,1
