org_id,district_id,mo_id,district_name,mo_name,is_work
23668,9,63,Центральный,Владимирский округ,1
23939,11,73,Московский,Звездное,1
49465,9,60,Центральный,Литейный округ,1
49548,13,82,Адмиралтейский,Адмиралтейский округ,1
49558,9,63,Центральный,Владимирский округ,1
49562,11,70,Московский,Гагаринское,1
49576,12,76,Петроградский,Посадский,1
49579,11,73,Московский,Звездное,1
49595,18,111,Пушкинский,Шушары,1
49811,1,6,Приморский,Озеро Долгое,1
49817,1,3,Приморский,N 65,1
49871,11,73,Московский,Звездное,1
49884,11,73,Московский,Звездное,1
50440,12,77,Петроградский,Аптекарский Остров,1
63625,11,72,Московский,Пулковский меридиан,1
76386,6,37,Калининский,Финляндский округ,1
76464,12,77,Петроградский,Аптекарский Остров,1
76465,9,60,Центральный,Литейный округ,1
76496,9,61,Центральный,Смольнинское,1
76524,9,61,Центральный,Смольнинское,1
76531,12,78,Петроградский,Петровский,1
76538,9,60,Центральный,Литейный округ,1
76547,12,79,Петроградский,Чкаловское,1
76553,12,77,Петроградский,Аптекарский Остров,1
76558,12,76,Петроградский,Посадский,1
76594,10,66,Василеостровский,Гавань,1
76643,9,60,Центральный,Литейный округ,1
76649,10,68,Василеостровский,Остров Декабристов,1
76708,12,74,Петроградский,Введенский,1
76764,9,63,Центральный,Владимирский округ,1
76837,9,61,Центральный,Смольнинское,1
79420,1,3,Приморский,N 65,1
79499,1,3,Приморский,N 65,1
89772,6,38,Калининский,N 21,1
97856,13,84,Адмиралтейский,Измайловское,1
97857,9,60,Центральный,Литейный округ,1
98141,13,83,Адмиралтейский,Семеновский,1
98151,13,80,Адмиралтейский,Коломна,1
98178,18,111,Пушкинский,Шушары,1
98185,4,26,Фрунзенский,Балканский,1
98194,5,34,Выборгский,Шувалово-Озерки,1
98201,8,55,Кировский,Нарвский округ,1
98202,4,26,Фрунзенский,Балканский,1
98204,4,26,Фрунзенский,Балканский,1
98211,11,73,Московский,Звездное,1
98266,10,65,Василеостровский,Васильевский,1
98292,10,64,Василеостровский,N 7,1
98298,10,64,Василеостровский,N 7,1
98475,1,6,Приморский,Озеро Долгое,1
98477,1,6,Приморский,Озеро Долгое,1
98512,9,63,Центральный,Владимирский округ,1
98565,13,81,Адмиралтейский,Сенной округ,1
98568,13,81,Адмиралтейский,Сенной округ,1
98571,7,42,Невский,Невская застава,1
98573,9,63,Центральный,Владимирский округ,1
98584,1,7,Приморский,Юнтолово,1
98590,1,6,Приморский,Озеро Долгое,1
98596,1,6,Приморский,Озеро Долгое,1
98651,9,62,Центральный,Лиговка-Ямская,1
98680,1,6,Приморский,Озеро Долгое,1
98681,1,3,Приморский,N 65,1
98732,1,6,Приморский,Озеро Долгое,1
98925,9,62,Центральный,Лиговка-Ямская,1
98937,8,53,Кировский,Дачное,1
98946,8,54,Кировский,Автово,1
98947,8,53,Кировский,Дачное,1
98951,8,54,Кировский,Автово,1
98967,4,21,Фрунзенский,Волковское,1
98988,4,22,Фрунзенский,N 72,1
98989,8,51,Кировский,Княжево,1
98991,8,52,Кировский,Ульянка,1
98997,8,56,Кировский,Красненькая речка,1
99018,11,72,Московский,Пулковский меридиан,1
99021,8,53,Кировский,Дачное,1
99042,8,52,Кировский,Ульянка,1
99065,8,51,Кировский,Княжево,1
99067,11,72,Московский,Пулковский меридиан,1
99072,8,51,Кировский,Княжево,1
99073,11,69,Московский,Московская Застава,1
99078,2,11,Красносельский,Южно-Приморский,1
99080,8,56,Кировский,Красненькая речка,1
99085,2,13,Красносельский,Урицк,1
99089,11,72,Московский,Пулковский меридиан,1
99093,2,13,Красносельский,Урицк,1
99105,8,52,Кировский,Ульянка,1
99116,8,52,Кировский,Ульянка,1
99204,11,70,Московский,Гагаринское,1
99206,13,84,Адмиралтейский,Измайловское,1
100098,12,77,Петроградский,Аптекарский Остров,1
100211,12,77,Петроградский,Аптекарский Остров,1
100822,11,69,Московский,Московская Застава,1
101035,3,18,Красногвардейский,Малая Охта,1
101048,3,19,Красногвардейский,Пороховые,1
101155,7,49,Невский,Оккервиль,1
101189,7,49,Невский,Оккервиль,1
101195,7,48,Невский,Невский округ,1
101475,9,59,Центральный,N 78,1
101509,12,77,Петроградский,Аптекарский Остров,1
120419,11,71,Московский,Новоизмайловское,1
120490,11,72,Московский,Пулковский меридиан,1
125561,4,23,Фрунзенский,Купчино,1
125674,4,24,Фрунзенский,Георгиевский,1
125880,4,24,Фрунзенский,Георгиевский,1
126207,7,43,Невский,Ивановский,1
149250,5,33,Выборгский,Сергиевское,1
149304,5,34,Выборгский,Шувалово-Озерки,1
149319,5,34,Выборгский,Шувалово-Озерки,1
149325,5,31,Выборгский,Сосновское,1
149330,5,34,Выборгский,Шувалово-Озерки,1
149334,5,34,Выборгский,Шувалово-Озерки,1
149354,6,41,Калининский,Прометей,1
149384,5,34,Выборгский,Шувалово-Озерки,1
149423,5,32,Выборгский,N 15,1
149431,6,38,Калининский,N 21,1
149432,6,38,Калининский,N 21,1
149476,5,28,Выборгский,Парголово,1
149480,5,34,Выборгский,Шувалово-Озерки,1
149509,5,31,Выборгский,Сосновское,1
149533,5,28,Выборгский,Парголово,1
149536,5,28,Выборгский,Парголово,1
149541,6,38,Калининский,N 21,1
149619,6,35,Калининский,Гражданка,1
149624,6,36,Калининский,Академическое,1
149628,6,38,Калининский,N 21,1
149630,5,34,Выборгский,Шувалово-Озерки,1
149634,5,31,Выборгский,Сосновское,1
149638,5,31,Выборгский,Сосновское,1
149664,6,40,Калининский,Северный,1
149668,6,36,Калининский,Академическое,1
149678,6,38,Калининский,N 21,1
149738,6,36,Калининский,Академическое,1
160710,3,18,Красногвардейский,Малая Охта,1
160847,10,68,Василеостровский,Остров Декабристов,1
161215,3,18,Красногвардейский,Малая Охта,1
161325,5,29,Выборгский,Сампсониевское,1
161428,8,56,Кировский,Красненькая речка,1
162349,12,78,Петроградский,Петровский,1
162504,9,61,Центральный,Смольнинское,1
171193,11,72,Московский,Пулковский меридиан,1
171283,11,73,Московский,Звездное,1
175256,7,45,Невский,Рыбацкое,1
175461,7,45,Невский,Рыбацкое,1
175671,18,111,Пушкинский,Шушары,1
175985,18,111,Пушкинский,Шушары,1
176113,13,85,Адмиралтейский,Екатерингофский,1
176190,7,49,Невский,Оккервиль,1
176328,3,19,Красногвардейский,Пороховые,1
176339,3,19,Красногвардейский,Пороховые,1
176347,13,85,Адмиралтейский,Екатерингофский,1
176363,3,19,Красногвардейский,Пороховые,1
176365,3,19,Красногвардейский,Пороховые,1
176402,1,5,Приморский,Комендантский Аэродром,1
176458,11,70,Московский,Гагаринское,1
176484,10,66,Василеостровский,Гавань,1
176546,2,13,Красносельский,Урицк,1
176575,2,12,Красносельский,Сосновая Поляна,1
176648,4,23,Фрунзенский,Купчино,1
176659,8,52,Кировский,Ульянка,1
176751,4,26,Фрунзенский,Балканский,1
176950,8,55,Кировский,Нарвский округ,1
176979,9,58,Центральный,Дворцовый округ,1
177162,8,53,Кировский,Дачное,1
177198,9,59,Центральный,N 78,1
177234,11,69,Московский,Московская Застава,1
177435,12,75,Петроградский,Кронверкское,1
177474,2,11,Красносельский,Южно-Приморский,1
177757,4,26,Фрунзенский,Балканский,1
177783,2,11,Красносельский,Южно-Приморский,1
177800,2,11,Красносельский,Южно-Приморский,1
177961,13,81,Адмиралтейский,Сенной округ,1
178024,13,81,Адмиралтейский,Сенной округ,1
178039,7,42,Невский,Невская застава,1
178124,7,45,Невский,Рыбацкое,1
178145,2,11,Красносельский,Южно-Приморский,1
178147,14,87,Колпинский,Металлострой,1
178178,3,17,Красногвардейский,Большая Охта,1
178280,7,48,Невский,Невский округ,1
179040,13,81,Адмиралтейский,Сенной округ,1
180303,7,42,Невский,Невская застава,1
180527,1,7,Приморский,Юнтолово,1
193061,7,43,Невский,Ивановский,1
193363,7,46,Невский,Народный,1
193375,7,46,Невский,Народный,1
201667,5,32,Выборгский,N 15,1
207792,1,5,Приморский,Комендантский Аэродром,1
207877,1,5,Приморский,Комендантский Аэродром,1
207914,3,18,Красногвардейский,Малая Охта,1
