district_id,2018,2019,2020,2021,2022,2023,2024,2025
1,565442,568516,573024,580100,585554,699243,704075,714854
2,383111,397609,408026,412886,419779,431546,434830,440817
3,357906,357498,356628,355621,354989,366971,365491,368354
4,401410,394972,386537,384385,383799,413983,412919,412471
5,509592,518709,522746,523497,528147,541590,543567,551925
6,538258,533597,529187,521875,512182,536794,530745,532972
7,519433,527861,536137,538323,540415,547896,548830,556880
8,336404,336248,336157,331550,325118,335774,330811,329419
9,222149,216939,214572,210899,207165,200654,198611,198862
10,209587,208713,207482,205240,202288,206680,205398,208720
11,350602,354525,352172,347022,342562,335221,333156,333941
12,134787,131356,128075,125731,124132,115757,115314,118213
13,163591,161911,159795,156958,153735,155981,154222,154424
14,188688,191847,193839,194934,197253,186169,188153,189870
15,44401,44321,44461,44353,44290,44414,44515,44655
16,76923,78131,79067,78910,79842,83491,83742,84309
17,140949,143154,143823,142655,142397,134148,133171,134895
18,208702,217983,226336,229403,233856,263732,270213,277341
