mo_id,district_id,2018,2019,2020,2021,2022,2023,2024,2025
1,1,4851,4738,4663,4653,4647,6491,6508,6596
2,1,4397,4509,4617,4825,5035,15347,15567,15968
3,1,145182,146628,148280,150364,151905,190318,191571,194361
4,1,59968,59980,60123,60510,60664,69822,70100,70883
5,1,90658,90734,91050,91736,92196,94158,94400,95484
6,1,99782,100152,100744,101876,102588,91272,91526,92572
7,1,114184,114755,115611,117031,118208,114257,115111,116908
8,1,46420,47020,47936,49105,50311,117578,119292,122082
9,2,56758,58110,59066,60029,61948,58652,60306,61162
10,2,68393,68879,68503,67582,66073,59379,58402,58269
11,2,75204,83293,88810,91319,95250,128346,128489,130109
12,2,55822,58864,62216,64461,67596,70165,73238,76863
13,2,58799,58576,58294,57726,56419,51054,50257,49984
14,2,38462,38632,38701,38332,37962,36169,35619,35236
15,2,29673,31255,32436,33437,34531,27781,28519,29194
16,3,54591,54703,54722,54842,55075,75180,75419,76707
17,3,57068,56848,56658,56397,56211,58140,57831,58176
18,3,48092,47932,47703,47509,47266,43414,43157,43319
19,3,137246,137062,136678,136234,135944,128949,128099,128807
20,3,60909,60953,60867,60639,60493,61288,60985,61345
21,4,59248,58382,57207,56917,56940,61246,61193,61224
22,4,67888,66679,65276,64868,64674,67846,67637,67523
23,4,53158,52150,50874,50403,50156,56117,55958,55794
24,4,90511,89119,87141,86666,86428,92460,92071,91841
25,4,-,-,-,-,-,62309,62317,62485
26,4,78185,76824,75139,74639,74488,74005,73743,73604
27,5,4914,5173,5315,5559,5637,6021,6101,6134
28,5,59195,67505,76418,81033,87661,106155,111145,115762
29,5,41653,41880,41561,41411,41487,39131,39068,39654
30,5,86558,86387,85243,84256,83539,90520,89796,90456
31,5,68920,68972,68132,67425,67024,60911,60378,60831
32,5,66130,66151,65336,64663,64321,61391,60902,61428
33,5,69384,69422,68555,67803,67425,60618,60031,60398
34,5,112838,113219,112186,111347,111053,116843,116146,117262
35,6,76338,75558,74807,73528,72024,68562,67654,67736
36,6,110419,109393,108361,106782,104723,109911,108549,108955
37,6,76670,75929,75332,74424,73123,72809,72078,72500
38,6,81117,80335,79525,78268,76640,77593,76567,76698
39,6,63114,62825,62695,62241,61476,81911,81396,82129
40,6,55034,54569,54106,53336,52295,48582,48022,48225
41,6,75566,74988,74361,73296,71901,77426,76479,76729
42,7,32715,33283,33763,33818,33962,27970,28050,28441
43,7,30492,30954,31395,31479,31498,27186,27157,27516
44,7,51246,52103,53060,53374,53685,56592,56679,57556
45,7,62458,63665,64772,65174,65440,69959,70132,71335
46,7,65144,66389,67591,68121,68590,79305,79762,81210
47,7,68592,69424,70224,70158,70124,67521,67469,68326
48,7,67753,68788,69796,69984,70333,69327,69494,70577
49,7,66067,66856,67659,67770,67816,62118,61924,62501
50,7,74966,76399,77877,78445,78967,87918,88163,89418
51,8,60564,60507,60507,59737,58606,60608,59699,59414
52,8,75260,75173,75142,74066,72592,77238,76019,75768
53,8,72510,72427,72252,71145,69538,71589,70462,70009
54,8,45120,45097,45096,44456,43625,43206,42639,42496
55,8,31733,31755,31854,31574,31130,33630,33260,33237
56,8,40948,41032,41029,40432,39640,38921,38302,38080
57,8,10269,10257,10277,10140,9987,10582,10430,10415
58,9,6985,6904,6849,6761,6659,7348,7273,7288
59,9,11513,11230,11078,10873,10661,9085,8978,8959
60,9,46344,45212,44687,43886,43017,40151,39745,39786
61,9,79293,77536,76708,75417,74152,74205,73451,73545
62,9,16964,16548,16434,16194,15956,19563,19437,19523
63,9,61050,59509,58816,57768,56720,50302,49727,49761
64,10,41223,41150,40988,40595,40103,36280,36091,36749
65,10,33216,33139,33067,32763,32358,31585,31425,31937
66,10,36799,36675,36451,35997,35498,41303,41047,41719
67,10,35487,35293,35088,34722,34188,36263,36080,36676
68,10,62862,62456,61888,61163,60141,61249,60755,61639
69,11,53875,54546,54305,53640,53072,45138,44916,45013
70,11,69778,70425,69679,68531,67362,66266,65624,65614
71,11,94135,95094,94339,92848,91627,84009,83316,83286
72,11,52274,52800,52409,51500,50666,45863,45574,45710
73,11,80540,81660,81440,80503,79835,93945,93726,94318
74,12,20304,19739,19211,18888,18630,15514,15440,15799
75,12,21058,20490,19979,19559,19263,16600,16497,16881
76,12,21814,21253,20690,20300,20028,15861,15788,16154
77,12,21234,20694,20209,19828,19614,20667,20583,21092
78,12,22231,21657,21122,20793,20546,17467,17453,17932
79,12,28146,27523,26864,26363,26051,29648,29553,30355
80,13,40302,39880,39306,38534,37689,34026,33530,33543
81,13,23010,22747,22394,21954,21416,20655,20360,20342
82,13,23593,23331,23084,22710,22239,24189,23945,23971
83,13,24232,24006,23667,23223,22676,22414,22123,22109
84,13,27287,27023,26732,26306,25984,32807,32593,32761
85,13,25167,24924,24612,24231,23731,21890,21671,21698
86,14,145721,147965,149156,149766,151718,143914,145875,147179
87,14,29230,29891,30479,30895,31227,27313,27407,27592
88,14,1326,1368,1380,1390,1384,2090,2097,2146
89,14,9007,9105,9217,9273,9275,8588,8552,8603
90,14,1570,1592,1625,1611,1612,1638,1618,1733
91,14,1834,1926,1982,1999,2037,2626,2604,2617
92,15,44401,44321,44461,44353,44290,44414,44515,44655
93,16,15292,15330,15322,15208,15138,15492,15462,15568
94,16,41160,42189,43055,43060,43301,45697,45935,46304
95,16,2235,2275,2295,2301,2321,2460,2440,2466
96,16,1301,1363,1313,1300,1322,1487,1495,1476
97,16,1705,1700,1710,1702,1698,1668,1679,1588
98,16,8980,8995,9079,9030,9737,9860,9869,9977
99,16,2847,2915,2951,2968,3004,2917,2940,3022
100,16,279,277,281,281,278,314,312,301
101,16,848,853,844,773,781,827,815,748
102,16,1589,1548,1514,1586,1566,1955,1992,2048
103,16,687,686,703,701,696,814,803,811
104,17,43191,42971,43235,43029,42857,39088,38558,38477
105,17,82940,85177,85717,84930,84815,80701,80345,81767
106,17,14818,15006,14871,14696,14725,14359,14268,14651
107,18,17653,17665,17409,17223,17247,17775,18097,18485
108,18,1352,1340,1330,1319,1320,1703,1695,1765
109,18,109885,111205,112674,112978,112472,108187,108470,108969
110,18,2744,2794,2807,2728,2706,3089,3104,3221
111,18,77068,84979,92116,95155,100111,132978,138847,144901
