district_id,age,both,male,female
13, до 1 года,1259,643,616
13, 1,1514,812,702
13, 0–2,3895,2070,1825
13, 3–5,3272,1686,1586
13, 6,1259,665,594
13, 1–6,7167,3778,3389
13, 7,1304,717,587
13, 8–13,7741,3924,3817
13, 14–15,2178,1123,1055
13, 16–17,2003,1007,996
13, 18–19,2657,1384,1273
13, 20–24,11908,6700,5208
13, 25–29,8369,4163,4206
13, 30–34,10835,5313,5522
13, 35–39,14360,7004,7356
13, 40–44,13063,6348,6715
13, 45–49,11414,5104,6310
13, 50–54,11725,5299,6426
13, 55–59,10473,4509,5964
13, 60–64,11299,4563,6736
13, 65–69,9364,3374,5990
13, 70 и старше,17103,5259,11184
10, до 1 года,1512,786,726
10, 1,1492,780,712
10, 0–2,4311,2228,2083
10, 3–5,4554,2312,2242
10, 6,1677,879,798
10, 1–6,9030,4633,4397
10, 7,1851,952,899
10, 8–13,10845,5555,5290
10, 14–15,3281,1662,1619
10, 16–17,3091,1582,1509
10, 18–19,4919,2398,2521
10, 20–24,15517,8225,7292
10, 25–29,10415,5303,5112
10, 30–34,12870,6192,6678
10, 35–39,17858,8656,9202
10, 40–44,16668,7778,8890
10, 45–49,15176,6990,8186
10, 50–54,14321,6454,7867
10, 55–59,13117,5809,7308
10, 60–64,14369,5872,8497
10, 65–69,13018,4907,8111
10, 70 и старше,27540,8646,18894
5, до 1 года,4550,2378,2172
5, 1,4529,2345,2184
5, 0–2,13751,7109,6642
5, 3–5,15434,8022,7412
5, 6,5600,2857,2743
5, 1–6,30235,15610,14625
5, 7,6301,3256,3045
5, 8–13,34417,17723,16694
5, 14–15,9575,4963,4612
5, 16–17,8860,4393,4467
5, 18–19,11156,5369,5787
5, 20–24,34065,17740,16325
5, 25–29,27202,13391,13811
5, 30–34,35930,17026,18904
5, 35–39,47201,22521,24680
5, 40–44,44222,20820,23402
5, 45–49,42566,19714,22852
5, 50–54,40864,18527,22337
5, 55–59,33900,15068,18832
5, 60–64,34054,13844,20210
5, 65–69,30493,11068,19425
5, 70 и старше,67976,20352,47624
6, до 1 года,3808,1997,1811
6, 1,3925,2017,1908
6, 0–2,12120,6140,5980
6, 3–5,11745,5781,5964
6, 6,4246,2140,2106
6, 1–6,24303,12064,12239
6, 7,4573,2343,2230
6, 8–13,24944,12889,12055
6, 14–15,6740,3471,3269
6, 16–17,7920,4082,3838
6, 18–19,9577,4744,4833
6, 20–24,36280,21070,15210
6, 25–29,32755,16253,16502
6, 30–34,40465,18383,22082
6, 35–39,51380,23792,27588
6, 40–44,44143,20311,23832
6, 45–49,38291,17530,20761
6, 50–54,38433,17768,20665
6, 55–59,33534,14990,18544
6, 60–64,34501,14293,20208
6, 65–69,28605,10811,17794
6, 70 и старше,70493,21582,48911
8, до 1 года,2403,1239,1164
8, 1,2547,1339,1208
8, 0–2,7253,3779,3474
8, 3–5,7158,3685,3473
8, 6,2846,1428,1418
8, 1–6,14854,7653,7201
8, 7,3064,1566,1498
8, 8–13,18353,9377,8976
8, 14–15,5414,2718,2696
8, 16–17,5132,2688,2444
8, 18–19,6988,3486,3502
8, 20–24,20335,11268,9067
8, 25–29,17097,8720,8377
8, 30–34,22666,11265,11401
8, 35–39,29486,14435,15051
8, 40–44,27122,13045,14077
8, 45–49,23667,11151,12516
8, 50–54,23531,10933,12598
8, 55–59,21799,9722,12077
8, 60–64,23822,9985,13837
8, 65–69,20823,7847,12976
8, 70 и старше,44255,13945,30310
14, до 1 года,1591,830,761
14, 1,1726,862,864
14, 0–2,5111,2640,2471
14, 3–5,5298,2698,2600
14, 6,2039,1047,992
14, 1–6,10857,5555,5302
14, 7,2313,1180,1133
14, 8–13,13095,6587,6508
14, 14–15,3688,1897,1791
14, 16–17,3171,1632,1539
14, 18–19,3072,1485,1587
14, 20–24,7829,4091,3738
14, 25–29,7644,3946,3698
14, 30–34,11186,5594,5592
14, 35–39,17479,8698,8781
14, 40–44,16637,8039,8598
14, 45–49,13962,6538,7424
14, 50–54,12146,5659,6487
14, 55–59,11213,4721,6492
14, 60–64,14526,5761,8765
14, 65–69,13892,5097,8795
14, 70 и старше,23852,7377,16475
3, до 1 года,3368,1732,1636
3, 1,3557,1870,1687
3, 0–2,10409,5320,5089
3, 3–5,10960,5615,5345
3, 6,3880,1930,1950
3, 1–6,21881,11133,10748
3, 7,4384,2252,2132
3, 8–13,24808,12794,12014
3, 14–15,6774,3506,3268
3, 16–17,5935,3052,2883
3, 18–19,6449,3010,3439
3, 20–24,17886,8739,9147
3, 25–29,16815,8010,8805
3, 30–34,23870,11336,12534
3, 35–39,33243,16202,17041
3, 40–44,32724,15466,17258
3, 45–49,28779,13467,15312
3, 50–54,24048,10995,13053
3, 55–59,20845,8809,12036
3, 60–64,23686,9283,14403
3, 65–69,24492,8684,15808
3, 70 и старше,45504,13380,32124
2, до 1 года,4559,2358,2201
2, 1,4439,2253,2186
