mo_id,district_id,population,workshops,people_per_workshop,workshops_working,mo_people_per_workshop_smoothed,mo_name,low_priority_by_scale,white_spot_flag,mo_rank_within_district,mo_rank_overall
8,1,122082,0,,0,244164.0,Коломяги,False,high,1.0,2.0
4,1,70883,0,,0,141766.0,Ланское,False,high,2.0,6.0
7,1,116908,2,58454.0,2,46763.2,Юнтолово,False,normal,3.0,21.0
3,1,194361,5,38872.2,5,35338.36363636364,N 65,False,normal,4.0,28.0
5,1,95484,4,23871.0,4,21218.666666666668,Комендантский Аэродром,False,normal,5.0,47.0
1,1,6596,0,,0,13192.0,Лисий Нос,True,normal,6.0,70.0
6,1,92572,7,13224.57142857143,7,12342.933333333332,Озеро Долгое,False,normal,7.0,74.0
2,1,15968,1,15968.0,1,10645.333333333334,Лахта-Ольгино,True,normal,8.0,84.0
9,2,61162,0,,0,122324.0,Красное Село,False,high,1.0,9.0
10,2,58269,0,,0,116538.0,Юго-Запад,False,high,2.0,10.0
14,2,35236,0,,0,70472.0,Константиновское,False,medium,3.0,16.0
12,2,76863,2,38431.5,2,30745.2,Сосновая Поляна,False,normal,4.0,35.0
15,2,29194,1,29194.0,1,19462.666666666668,Горелово,True,normal,5.0,51.0
11,2,130109,7,18587.0,7,17347.866666666665,Южно-Приморский,False,normal,6.0,54.0
13,2,49984,3,16661.333333333332,3,14281.142857142857,Урицк,False,normal,7.0,65.0
20,3,61345,1,61345.0,1,40896.666666666664,Ржевка,False,normal,1.0,23.0
16,3,76707,2,38353.5,2,30682.8,Полюстрово,False,normal,2.0,36.0
19,3,128807,5,25761.4,5,23419.454545454544,Пороховые,False,normal,3.0,43.0
17,3,58176,3,19392.0,3,16621.714285714286,Большая Охта,False,normal,4.0,59.0
18,3,43319,5,8663.8,5,7876.181818181818,Малая Охта,False,normal,5.0,89.0
25,4,62485,0,,0,124970.0,Александровский,False,high,1.0,8.0
21,4,61224,1,61224.0,1,40816.0,Волковское,False,normal,2.0,24.0
24,4,91841,2,45920.5,2,36736.4,Георгиевский,False,normal,3.0,27.0
22,4,67523,2,33761.5,2,27009.2,N 72,False,normal,4.0,39.0
23,4,55794,2,27897.0,2,22317.6,Купчино,False,normal,5.0,45.0
26,4,73604,5,14720.8,5,13382.545454545454,Балканский,False,normal,6.0,68.0
30,5,90456,0,,0,180912.0,Светлановское,False,high,1.0,4.0
33,5,60398,1,60398.0,1,40265.333333333336,Сергиевское,False,normal,2.0,25.0
28,5,115762,3,38587.333333333336,3,33074.857142857145,Парголово,False,normal,3.0,29.0
29,5,39654,1,39654.0,1,26436.0,Сампсониевское,False,medium,4.0,40.0
32,5,61428,2,30714.0,2,24571.2,N 15,False,normal,5.0,42.0
34,5,117262,8,14657.75,8,13795.529411764706,Шувалово-Озерки,False,normal,6.0,66.0
27,5,6134,0,,0,12268.0,поселок Левашово,True,normal,7.0,75.0
