district_id,total,younger,working,older
1,704075,112279,427530,164266
2,434830,75549,253657,105624
3,365491,61215,211141,93135
4,412919,58847,243701,110371
5,543567,85078,327037,131452
6,530745,64368,333731,132646
7,548830,88823,328486,131521
8,330811,44088,198704,88019
9,198611,26752,117783,54076
10,205398,26519,124463,54416
11,333156,50828,195278,87050
12,115314,12969,77328,25017
13,154222,19649,97198,37375
14,188153,31544,104925,51684
15,44515,7621,25933,10961
16,83742,13405,47683,22654
17,133171,19206,78653,35312
18,270213,52615,163932,53666
