district_id,total,younger,working,older
1,385220,54527,215634,115059
2,241478,37062,127915,76501
3,203641,29798,106577,67266
4,229720,28668,121071,79981
5,299804,41148,163892,94764
6,292372,31604,166221,94547
7,302000,42919,164185,94896
8,179768,21535,96032,62201
9,109728,13064,58412,38252
10,112998,12931,61553,38514
11,188005,24767,100307,62931
12,59096,6363,36017,16716
13,84010,9464,47592,26954
14,103466,15495,51100,36871
15,23421,3666,11823,7932
16,44464,6442,22854,15168
17,71012,9433,36744,24835
18,144455,25613,80404,38438
