district_id,total,younger,working,older
1,318855,57752,211896,49207
2,193352,38487,125742,29123
3,161850,31417,104564,25869
4,183199,30179,122630,30390
5,243763,43930,163145,36688
6,238373,32764,167510,38099
7,246830,45904,164301,36625
8,151043,22553,102672,25818
9,88883,13688,59371,15824
10,92400,13588,62910,15902
11,145151,26061,94971,24119
12,56218,6606,41311,8301
13,70212,10185,49606,10421
14,84687,16049,53825,14813
15,21094,3955,14110,3029
16,39278,6963,24829,7486
17,62159,9773,41909,10477
18,125758,27002,83528,15228
