id,name,people_count,district_id
1,Лисий Нос,6596,1
2,Лахта-Ольгино,15968,1
3,N 65,194361,1
4,Ланское,70883,1
5,Комендантский Аэродром,95484,1
6,Озеро Долгое,92572,1
7,Юнтолово,116908,1
8,Коломяги,122082,1
9,Красное Село, 61162,2
10,Юго-Запад,58269,2
11,Южно-Приморский,130109,2
12,Сосновая Поляна,76863,2
13,Урицк,49984,2
14,Константиновское,35236,2
15,Горелово,29194,2
16,Полюстрово,76707,3
17,Большая Охта,58176,3
18,Малая Охта,43319,3
19,Пороховые,128807,3
20,Ржевка,61345,3
21,Волковское,61224,4
22,N 72,67523,4
23,Купчино,55794,4
24,Георгиевский,91841,4
25,Александровский,62485,4
26,Балканский,73604,4
27,поселок Левашово,6134,5
28,Парголово,115762,5
29,Сампсониевское,39654,5
30,Светлановское,90456,5
31,Сосновское,60831,5
32,N 15,61428,5
33,Сергиевское,60398,5
34,Шувалово-Озерки,117262,5
35,Гражданка,67736,6
36,Академическое,108955,6
37,Финляндский округ,72500,6
38,N 21,76698,6
39,Пискаревка,82129,6
40,Северный,48225,6
41,Прометей,76729,6
42,Невская застава,28441,7
43,Ивановский,27516,7
44,Обуховский,57556,7
45,Рыбацкое,71335,7
46,Народный,81210,7
47,N 54,68326,7
48,Невский округ,70577,7
49,Оккервиль,62501,7
50,Правобережный,89418,7
51,Княжево,59414,8
52,Ульянка,75768,8
53,Дачное,70009,8
54,Автово,42496,8
55,Нарвский округ,33237,8
56,Красненькая речка,38080,8
57,Морские ворота,10415,8
58,Дворцовый округ,7288,9
59,N 78,8959,9
60,Литейный округ,39786,9
61,Смольнинское,73545,9
62,Лиговка-Ямская,19523,9
63,Владимирский округ,49761,9
64,N 7,36749,10
65,Васильевский,31937,10
66,Гавань,41719,10
67,Морской,36676,10
68,Остров Декабристов,61639,10
69,Московская Застава,45013,11
70,Гагаринское,65614,11
71,Новоизмайловское,83286,11
72,Пулковский меридиан,45710,11
73,Звездное,94318,11
74,Введенский,15799,12
75,Кронверкское,16881,12
76,Посадский,16154,12
77,Аптекарский Остров,21092,12
78,Петровский,17932,12
79,Чкаловское,30355,12
80,Коломна,33543,13
81,Сенной округ,20342,13
82,Адмиралтейский округ,23971,13
83,Семеновский,22109,13
84,Измайловское,32761,13
85,Екатерингофский,21698,13
86,Колпино,147179,14
87,Металлострой,27592,14
88,Петро-Славянка,2146,14
89,Понтонный,8603,14
90,Саперный,1733,14
91,Усть-Ижора,2617,14
92,Кронштадт,44655,15
93,Зеленогорск,15568,16
94,Сестрорецк,46304,16
95,Белоостров,2466,16
96,Комарово,1476,16
97,Молодежное,1588,16
98,Песочный,9977,16
99,Репино,3022,16
100,Серово,301,16
101,Смолячково,748,16
102,Солнечное,2048,16
103,Ушково,811,16
104,Ломоносов,38477,17
105,Петергоф,81767,17
106,Стрельна,14651,17
107,Павловск,18485,18
108,Тярлево,1765,18
109,Пушкин,108969,18
110,Александровская,3221,18
111,Шушары,144901,18
