_name,total
Адмиралтейский район,161911
муниципальный округ Коломна,39880
муниципальный округ Сенной округ,22747
муниципальный округ Адмиралтейский округ,23331
муниципальный округ Семеновский,24006
муниципальный округ Измайловское,27023
муниципальный округ Екатерингофский,24924
Василеостровский район,208713
муниципальный округ N 7,41150
муниципальный округ Васильевский,33139
муниципальный округ Гавань,36675
муниципальный округ округ Морской,35293
муниципальный округ Остров Декабристов,62456
Выборгский район,518709
поселок Левашово,5173
поселок Парголово,67505
муниципальный округ Сампсониевское,41880
муниципальный округ Светлановское,86387
муниципальный округ Сосновское,68972
муниципальный округ N 15,66151
муниципальный округ Сергиевское,69422
муниципальный округ Шувалово-Озерки,113219
Калининский район,533597
муниципальный округ Гражданка,75558
муниципальный округ Академическое,109393
муниципальный округ Финляндский округ,75929
муниципальный округ N 21,80335
муниципальный округ Пискаревка,62825
муниципальный округ Северный,54569
муниципальный округ Прометей,74988
Кировский район,336248
муниципальный округ Княжево,60507
муниципальный округ Ульянка,75173
муниципальный округ Дачное,72427
муниципальный округ Автово,45097
муниципальный округ Нарвский округ,31755
муниципальный округ Красненькая речка,41032
муниципальный округ Морские ворота,10257
Колпинский район,191847
г. Колпино,147965
поселок Металлострой,29891
поселок Петро-Славянка,1368
поселок Понтонный,9105
поселок Саперный,1592
поселок Усть-Ижора,1926
Красногвардейский район,357498
муниципальный округ Полюстрово,54703
муниципальный округ Большая Охта,56848
муниципальный округ Малая Охта,47932
муниципальный округ Пороховые,137062
муниципальный округ Ржевка,60953
Красносельский район,397609
г. Красное Село,58110
муниципальный округ Юго-Запад,68879
муниципальный округ Южно-Приморский,83293
муниципальный округ Сосновая Поляна,58864
муниципальный округ Урицк,58576
муниципальный округ Константиновское,38632
муниципальный округ Горелово,31255
Кронштадтский район,44321
г. Кронштадт,44321
Курортный район,78131
г. Зеленогорск,15330
г. Сестрорецк,42189
поселок Белоостров,2275
поселок Комарово,1363
поселок Молодежное,1700
поселок Песочный,8995
поселок Репино,2915
поселок Серово,277
поселок Смолячково,853
поселок Солнечное,1548
поселок Ушково,686
Московский район,354525
муниципальный округ Московская Застава,54546
муниципальный округ Гагаринское,70425
муниципальный округ Новоизмайловское,95094
муниципальный округ Пулковский меридиан,52800
муниципальный округ Звездное,81660
Невский район,527861
муниципальный округ Невская застава,33283
муниципальный округ Ивановский,30954
муниципальный округ Обуховский,52103
муниципальный округ Рыбацкое,63665
муниципальный округ Народный,66389
муниципальный округ N 54,69424
муниципальный округ Невский округ,68788
муниципальный округ Оккервиль,66856
муниципальный округ Правобережный,76399
Петроградский район,131356
муниципальный округ Введенский,19739
муниципальный округ Кронверкское,20490
муниципальный округ Посадский,21253
муниципальный округ Аптекарский Остров,20694
муниципальный округ округ Петровский,21657
муниципальный округ Чкаловское,27523
Петродворцовый район,143154
г. Ломоносов,42971
г. Петергоф,85177
поселок Стрельна,15006
Приморский район,568516
поселок Лисий Нос,4738
муниципальный округ Лахта-Ольгино,4509
муниципальный округ N 65,146628
муниципальный округ Черная речка,59980
муниципальный округ Комендантский Аэродром,90734
муниципальный округ Озеро Долгое,100152
муниципальный округ Юнтолово,114755
муниципальный округ Коломяги,47020
Пушкинский район,217983
г. Павловск,17665
поселок Тярлево,1340
г. Пушкин,111205
поселок Александровская,2794
поселок Шушары,84979
Фрунзенский район,394972
муниципальный округ Волковское,58382
муниципальный округ N 72,66679
муниципальный округ Купчино,52150
муниципальный округ Георгиевский,89119
муниципальный округ N 75,51818
муниципальный округ Балканский,76824
Центральный район,216939
муниципальный округ Дворцовый округ,6904
муниципальный округ N 78,11230
муниципальный округ Литейный округ,45212
муниципальный округ Смольнинское,77536
муниципальный округ Лиговка-Ямская,16548
муниципальный округ Владимирский округ,59509
