district_name,both,younger,working,older
Адмиралтейский,154222,19649,97198,37375
Василеостровский,205398,26519,124463,54416
Выборгский,543567,85078,327037,131452
Калининский,530745,64368,333731,132646
Кировский,330811,44088,198704,88019
Колпинский,188153,31544,104925,51684
Красногвардейский,365491,61215,211141,93135
Красносельский,434830,75549,253657,105624
Кронштадтский,44515,7621,25933,10961
Курортный,83742,13405,47683,22654
Московский,333156,50828,195278,87050
Невский,548830,88823,328486,131521
Петроградский,115314,12969,77328,25017
Петродворцовый,133171,19206,78653,35312
Приморский,704075,112279,427530,164266
Пушкинский,270213,52615,163932,53666
Фрунзенский,412919,58847,243701,110371
Центральный,198611,26752,117783,54076
