district_name,both,younger,working,older
Адмиралтейский,84010,9464,47592,26954
Василеостровский,112998,12931,61553,38514
Выборгский,299804,41148,163892,94764
Калининский,292372,31604,166221,94547
Кировский,179768,21535,96032,62201
Колпинский,103466,15495,51100,36871
Красногвардейский,203641,29798,106577,67266
Красносельский,241478,37062,127915,76501
Кронштадтский,23421,3666,11823,7932
Курортный,44464,6442,22854,15168
Московский,188005,24767,100307,62931
Невский,302000,42919,164185,94896
Петроградский,59096,6363,36017,16716
Петродворцовый,71012,9433,36744,24835
Приморский,385220,54527,215634,115059
Пушкинский,144455,25613,80404,38438
Фрунзенский,229720,28668,121071,79981
Центральный,109728,13064,58412,38252
