district_name,both,younger,working,older
Адмиралтейский,70212,10185,49606,10421
Василеостровский,92400,13588,62910,15902
Выборгский,243763,43930,163145,36688
Калининский,238373,32764,167510,38099
Кировский,151043,22553,102672,25818
Колпинский,84687,16049,53825,14813
Красногвардейский,161850,31417,104564,25869
Красносельский,193352,38487,125742,29123
Кронштадтский,21094,3955,14110,3029
Курортный,39278,6963,24829,7486
Московский,145151,26061,94971,24119
Невский,246830,45904,164301,36625
Петроградский,56218,6606,41311,8301
Петродворцовый,62159,9773,41909,10477
Приморский,318855,57752,211896,49207
Пушкинский,125758,27002,83528,15228
Фрунзенский,183199,30179,122630,30390
Центральный,88883,13688,59371,15824
